equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11080@linha_grupo:L4_L5,EQ11080,ltp_tc_base,linha_grupo,L4_L5,,PARAM11002@L4; PARAM11002@L5,,84,PUBLISHED,YES,
EQ11081@linha_grupo:L4_L5,EQ11081,ltp_a_c_base,linha_grupo,L4_L5,,VAR11085@L4; VAR11085@L5,,85,PUBLISHED,YES,
EQ11082@linha_grupo:L4_L5,EQ11082,sl_solids_base,linha_grupo,L4_L5,,VAR11086@L4; VAR11086@L5,,86,PUBLISHED,YES,
EQ11083@linha_grupo:L4_L5,EQ11083,ratio_spent_base,linha_grupo,L4_L5,,VAR11087@L4; VAR11087@L5,,87,PUBLISHED,YES,
EQ11084@linha_grupo:L4_L5,EQ11084,ssa_sf_base,linha_grupo,L4_L5,,VAR11088@L4; VAR11088@L5,,88,PUBLISHED,YES,
EQ11085@linha_grupo:L4_L5,EQ11085,ssa_sg_base,linha_grupo,L4_L5,,VAR11089@L4; VAR11089@L5,,89,PUBLISHED,YES,
EQ11087@linha_grupo:L4_L5,EQ11087,n_ppt_base,linha_grupo,L4_L5,,VAR11091@L4; VAR11091@L5,,90,PUBLISHED,YES,
EQ11088@linha_grupo:L4_L5,EQ11088,eoc_temp_base,linha_grupo,L4_L5,,VAR11092@L4; VAR11092@L5,,91,PUBLISHED,YES,
EQ11089@linha_grupo:L4_L5,EQ11089,eoc_solids_base,linha_grupo,L4_L5,,VAR11093@L4; VAR11093@L5,,92,PUBLISHED,YES,
EQ11093@linha_grupo:L6_L7,EQ11093,lth_base,linha_grupo,L6_L7,,VAR11082@L6; VAR11082@L7,,93,PUBLISHED,YES,
EQ11094@linha_grupo:L6_L7,EQ11094,oee_base,linha_grupo,L6_L7,,VAR11083@L6; VAR11083@L7,,94,PUBLISHED,YES,
EQ11095@linha_grupo:L6_L7,EQ11095,ltp_lth_base,linha_grupo,L6_L7,,VAR11084@L6; VAR11084@L7,,95,PUBLISHED,YES,
EQ11096@linha_grupo:L6_L7,EQ11096,ltp_tc_base,linha_grupo,L6_L7,,PARAM11002@L6; PARAM11002@L7,,96,PUBLISHED,YES,
EQ11097@linha_grupo:L6_L7,EQ11097,ltp_a_c_base,linha_grupo,L6_L7,,VAR11085@L6; VAR11085@L7,,97,PUBLISHED,YES,
EQ11098@linha_grupo:L6_L7,EQ11098,sl_solids_base,linha_grupo,L6_L7,,VAR11086@L6; VAR11086@L7,,98,PUBLISHED,YES,
EQ11099@linha_grupo:L6_L7,EQ11099,ratio_spent_base,linha_grupo,L6_L7,,VAR11087@L6; VAR11087@L7,,99,PUBLISHED,YES,
EQ11100@linha_grupo:L6_L7,EQ11100,ssa_sf_base,linha_grupo,L6_L7,,VAR11088@L6; VAR11088@L7,,100,PUBLISHED,YES,
EQ11101@linha_grupo:L6_L7,EQ11101,ssa_sg_base,linha_grupo,L6_L7,,VAR11089@L6; VAR11089@L7,,101,PUBLISHED,YES,
EQ11103@linha_grupo:L6_L7,EQ11103,n_ppt_base,linha_grupo,L6_L7,,VAR11091@L6; VAR11091@L7,,102,PUBLISHED,YES,
EQ11104@linha_grupo:L6_L7,EQ11104,eoc_temp_base,linha_grupo,L6_L7,,VAR11092@L6; VAR11092@L7,,103,PUBLISHED,YES,
EQ11105@linha_grupo:L6_L7,EQ11105,eoc_solids_base,linha_grupo,L6_L7,,VAR11093@L6; VAR11093@L7,,104,PUBLISHED,YES,
EQ11006@linha:L1,EQ11006,ratio_spent,linha,L1,EQ11002@linha:L1; EQ11003@linha:L1; EQ11004@linha:L1; EQ11008@linha:L1; EQ11009@linha:L1,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L1; EQ11003@linha:L1; EQ11004@linha:L1; EQ11008@linha:L1; EQ11009@linha:L1,105,PUBLISHED,YES,
EQ11006@linha:L2,EQ11006,ratio_spent,linha,L2,EQ11002@linha:L2; EQ11003@linha:L2; EQ11004@linha:L2; EQ11008@linha:L2; EQ11009@linha:L2,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L2; EQ11003@linha:L2; EQ11004@linha:L2; EQ11008@linha:L2; EQ11009@linha:L2,106,PUBLISHED,YES,
EQ11006@linha:L3,EQ11006,ratio_spent,linha,L3,EQ11002@linha:L3; EQ11003@linha:L3; EQ11004@linha:L3; EQ11008@linha:L3; EQ11009@linha:L3,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L3; EQ11003@linha:L3; EQ11004@linha:L3; EQ11008@linha:L3; EQ11009@linha:L3,107,PUBLISHED,YES,
